"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerNameComparatorJaccardTokenizer record1Value","[1] PlayerNameComparatorJaccardTokenizer record2Value","[1] PlayerNameComparatorJaccardTokenizer record1PreprocessedValue","[1] PlayerNameComparatorJaccardTokenizer record2PreprocessedValue","[1] PlayerNameComparatorJaccardTokenizer similarity","[1] PlayerNameComparatorJaccardTokenizer postproccesedSimilarity","[2] PlayerClubComparatorJaccard record1Value","[2] PlayerClubComparatorJaccard record2Value","[2] PlayerClubComparatorJaccard record1PreprocessedValue","[2] PlayerClubComparatorJaccard record2PreprocessedValue","[2] PlayerClubComparatorJaccard similarity","[2] PlayerClubComparatorJaccard postproccesedSimilarity","[3] PlayerNationalityComparatorJaccard record1Value","[3] PlayerNationalityComparatorJaccard record2Value","[3] PlayerNationalityComparatorJaccard record1PreprocessedValue","[3] PlayerNationalityComparatorJaccard record2PreprocessedValue","[3] PlayerNationalityComparatorJaccard similarity","[3] PlayerNationalityComparatorJaccard postproccesedSimilarity","[4] PlayerBirthDateComparatorEqual record1Value","[4] PlayerBirthDateComparatorEqual record2Value","[4] PlayerBirthDateComparatorEqual record1PreprocessedValue","[4] PlayerBirthDateComparatorEqual record2PreprocessedValue","[4] PlayerBirthDateComparatorEqual similarity","[4] PlayerBirthDateComparatorEqual postproccesedSimilarity"
"WekaMatchingRule","real_1487","prediction_7972","0.13780977864927088",,"Tiquinho Soares","Ravanelli","Tiquinho Soares","Ravanelli","0.0","0.0","Tiquinho Soares","Ravanelli","Tiquinho Soares","Ravanelli","0.0","0.0","FC Porto","AkhmatGrozny","FC Porto","AkhmatGrozny","0.0","0.0","Brazil","Brazil","Brazil","Brazil","1.0","1.0","1991-01-17","1997-08-29","1991-01-17","1997-08-29","0.0","0.0"
"WekaMatchingRule","real_297","prediction_4499",,"0","Bernd Leno","Stefan Vladoiu","Bernd Leno","Stefan Vladoiu","0.0","0.0","Bernd Leno","Stefan Vladoiu","Bernd Leno","Stefan Vladoiu","0.0","0.0","Arsenal","D.Calarasi","Arsenal","D.Calarasi","0.0","0.0","Germany","Romania","Germany","Romania","0.0","0.0","1992-03-04","1998-12-28","1992-03-04","1998-12-28","0.0","0.0"
"WekaMatchingRule","real_1660","prediction_2107","0.13780977864927088",,"Enock Kwateng","Pierre LeesMelou","Enock Kwateng","Pierre LeesMelou","0.0","0.0","Enock Kwateng","Pierre LeesMelou","Enock Kwateng","Pierre LeesMelou","0.0","0.0","G. Bordeaux","OGCNice","G. Bordeaux","OGCNice","0.0","0.0","France","France","France","France","1.0","1.0","1997-04-09","1993-05-25","1997-04-09","1993-05-25","0.0","0.0"
"WekaMatchingRule","real_1660","prediction_2106","0.13780977864927088",,"Enock Kwateng","Rémi Walter","Enock Kwateng","Rémi Walter","0.0","0.0","Enock Kwateng","Rémi Walter","Enock Kwateng","Rémi Walter","0.0","0.0","G. Bordeaux","OGCNice","G. Bordeaux","OGCNice","0.0","0.0","France","France","France","France","1.0","1.0","1997-04-09","1995-04-26","1997-04-09","1995-04-26","0.0","0.0"
"WekaMatchingRule","real_958","prediction_2094",,"1","Kouadio-Yves Dabila","Kouadio0Yves Dabila","Kouadio-Yves Dabila","Kouadio0Yves Dabila","1.0","1.0","Kouadio-Yves Dabila","Kouadio0Yves Dabila","Kouadio-Yves Dabila","Kouadio0Yves Dabila","0.75","0.75","Cercle Brugge","LOSCLille","Cercle Brugge","LOSCLille","0.0","0.0","Cote d'Ivoire","Coted'Ivoire","Cote d'Ivoire","Coted'Ivoire","0.25","0.25","1997-01-01","1997-01-01","1997-01-01","1997-01-01","1.0","1.0"
"WekaMatchingRule","real_1295","prediction_8728","0.13780977864927088",,"Vitor","DyegoSousa","Vitor","DyegoSousa","0.0","0.0","Vitor","DyegoSousa","Vitor","DyegoSousa","0.0","0.0","Famalicao","Braga","Famalicao","Braga","0.0","0.0","Brazil","Brazil","Brazil","Brazil","1.0","1.0","1999-07-01","1989-09-14","1999-07-01","1989-09-14","0.0","0.0"
"WekaMatchingRule","real_686","prediction_1185","0.13780977864927088",,"Lars Stindl","Hendrik Weydandt","Lars Stindl","Hendrik Weydandt","0.0","0.0","Lars Stindl","Hendrik Weydandt","Lars Stindl","Hendrik Weydandt","0.0","0.0","Bor. M'gladbach","Hannover96","Bor. M'gladbach","Hannover96","0.0","0.0","Germany","Germany","Germany","Germany","1.0","1.0","1988-08-26","1995-07-16","1988-08-26","1995-07-16","0.0","0.0"
"WekaMatchingRule","real_2933","prediction_9586","0.13780977864927088",,"Waldo Rubio","Koke","Waldo Rubio","Koke","0.0","0.0","Waldo Rubio","Koke","Waldo Rubio","Koke","0.0","0.0","Real Valladolid","AtléticoMadrid","Real Valladolid","AtléticoMadrid","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1995-08-17","1992-01-08","1995-08-17","1992-01-08","0.0","0.0"
"WekaMatchingRule","real_202","prediction_9008","0.13780977864927088",,"Mats van Kins","Myron Boadu","Mats van Kins","Myron Boadu","0.0","0.0","Mats van Kins","Myron Boadu","Mats van Kins","Myron Boadu","0.0","0.0","ADO Den Haag","AZAlkmaar","ADO Den Haag","AZAlkmaar","0.0","0.0","Netherlands","Netherlands","Netherlands","Netherlands","1.0","1.0","1998-12-17","2001-01-14","1998-12-17","2001-01-14","0.0","0.0"
"WekaMatchingRule","real_3952","prediction_7885","0.13780977864927088",,"Azer Aliev","Igor Udalyi","Azer Aliev","Igor Udalyi","0.0","0.0","Azer Aliev","Igor Udalyi","Azer Aliev","Igor Udalyi","0.0","0.0","Ufa","Anzhi","Ufa","Anzhi","0.0","0.0","Russia","Russia","Russia","Russia","1.0","1.0","1994-05-12","1984-12-08","1994-05-12","1984-12-08","0.0","0.0"
